id,longitude,latitude,name,
1665,2.156894,41.405100,Carrer de la Santacreu,
1666,2.151647,41.405983,C. De Nil Fabra,
1667,2.163269,41.409128,C. Del Secretari Coloma,
1668,2.170989,41.373492,VilÃ  i VilÃ ,
1669,2.166881,41.371967,Nou de la Rambla,
1670,2.162156,41.371522,Passeig de l\'ExposiciÃ³,
1671,2.161647,41.373747,Elkano,
1672,2.156564,41.372147,Carrer de la FranÃ§a Xica,
1673,2.154464,41.372911,Rius i Taulet,
1674,2.190983,41.415669,Espronceda,
1675,2.184731,41.417317,IndÃºstria,
1676,2.187583,41.417753,Josep Estivill,
1677,2.181300,41.419817,Pl. Maragall,
1678,2.177314,41.424556,Ramon AlbÃ³,
1679,2.181331,41.423950,Alenxadre GalÃ­,
1680,2.178517,41.426906,Felip II,
1681,2.185725,41.422553,Juan de Garay,
1682,2.185261,41.422769,Olesa,
1683,2.190414,41.418203,PalÃ¨ncia,
1684,2.188794,41.424969,VallÃ©s i Ribot,
1685,2.190131,41.426228,Portugal,
1686,2.185222,41.425394,Cardenal Tedeschini,
1687,2.193400,41.428192,Carrer del Pare Manyanet,
1688,2.191822,41.429981,Onze de Setembre,
1689,2.189600,41.430350,Gran de Sant Andreu,
1690,2.185856,41.431189,Irlanda,
1691,2.189536,41.436008,Malats,
1692,2.189697,41.433886,Sant AdriÃ ,
1693,2.189108,41.442000,Carrer de Palomar,
1694,2.185819,41.439119,Carrer de Bartrina,
1695,2.192969,41.436192,PlaÃ§a de l\'EstaciÃ³,
1696,2.160667,41.382228,Villarroel,
1697,2.152558,41.379833,Rocafort,
1698,2.191383,41.437675,C/Joan Torras,
1699,2.197031,41.439953,RepÃºblica Dominicana,
1700,2.198283,41.446831,Ciutat d\'Asuncion,
1701,2.199731,41.447933,PlaÃ§a BarÃ³ de Viver,
1702,2.190656,41.443331,Passeig Torras i Bages,
1703,2.192911,41.445703,Coronel Monasterio,
1704,2.192900,41.448147,Via Barcino,
1705,2.190967,41.449878,Mare de DÃ©u de Lorda,
1706,2.192656,41.450881,Via Barcino,
1707,2.184289,41.432572,ConcepciÃ³ Arenal,
1708,2.183364,41.431231,Avda. Meridiana,
1709,2.183358,41.431431,Avda. Meridiana,
1710,2.182206,41.430703,Rio de Janeiro,
1711,2.165142,41.412033,Ronda del GuinardÃ³,
1712,2.169133,41.408369,Travessera de GrÃ cia,
1713,2.172111,41.411500,Rosalia de Castro,
1714,2.174603,41.416681,Ronda Guinardo,
1715,2.178528,41.412808,Industria ,
1716,2.176522,41.419394,Ronda Guinardo,
1717,2.166033,41.427575,Font d\'en Fargues,
1718,2.160781,41.430739,PlaÃ§a Eivissa,
1719,2.186028,41.436683,Malats,
1720,2.191439,41.403111,BolÃ­via,
1721,2.174506,41.429631,Pl. Virrei Amat,
1722,2.166897,41.430386,P. Fabra i Puig,
1723,2.174014,41.437142,PlaÃ§a dels Jardins d\'AlfÃ bia,
1724,2.174661,41.426969,Subirats,
1725,2.171969,41.430050,Amilcar,
1726,2.164567,41.428725,Petrarca,
1727,2.170689,41.436375,Seu del Districte (Nou Barris),
1728,2.171483,41.433458,Sant Iscle,
1729,2.183875,41.436553,Carrer de RossellÃ³ i Porcel/Avda. Meridiana,
1730,2.178761,41.438522,Carrer de l\'Escultor OrdÃ³Ã±ez,
1731,2.181733,41.434622,Andreu Nin,
1732,2.175206,41.433964,Carrer de l\'Escultor OrdÃ³Ã±ez,
1733,2.176933,41.431547,Carrer de Maladeta,
1734,2.169633,41.437081,Marie Curie,
1735,2.111631,41.390650,Cavallers,
1736,2.114869,41.393078,Cavallers,
1737,2.121853,41.389892,JimÃ©nez Iglesias,
1738,2.123631,41.387519,Diagonal,
1739,2.123136,41.385500,Doctor Salvador Cardenal,
1740,2.113525,41.379206,Pintor Ribalta,
1741,2.113908,41.376758,Cardenal Reig,
1742,2.116917,41.376722,Sant RamÃ³n Nonat,
1743,2.119081,41.381228,Josep Samitier,
1744,2.121903,41.378089,Travessera de les Corts,
1745,2.126639,41.379775,Felipe de Paz,
1746,2.131019,41.374561,CÃ¡ceres,
1747,2.129667,41.378258,Rambla del Brasil,
1748,2.181911,41.415669,GuinardÃ³,
1749,2.198314,41.422217,CantÃ bria,
1750,2.200692,41.425564,Rambla Prim,
1751,2.170867,41.414097,Ronda Guinardo,
1752,2.145175,41.394739,AmigÃ³,
1753,2.145889,41.403331,Gleva,
1754,2.143672,41.404036,Carrer de PÃ¡dua,
1755,2.139122,41.401017,SantalÃ³,
1756,2.138725,41.398011,Vallmajor,
1757,2.136192,41.396961,Reina Victoria,
1758,2.130322,41.394950,Alt de Gironella,
1759,2.137744,41.407022,Castanyer,
1760,2.133817,41.406028,BigaÃ­,
1761,2.134942,41.402458,Artesa de Segre,
1762,2.128556,41.402894,Carrer de les Escoles Pies,
1763,2.130664,41.400583,Doctor Carulla,
1764,2.127811,41.397383,Castellnou,
1765,2.128117,41.399850,Doctor Roux,
